CUIs,clinvar_trait
C3808012,cataract 23
C3808046,breathing dysregulation
C3808107,cataract 33
C3808184,"intellectual disability, autosomal dominant 22"
C3808241,osteopetrosis
C3808327,metaphyseal fractures
C3808397,complex cortical dysplasia with other brain malformations 1
C3808414,perrault syndrome 3
C3808435,hereditary pulmonary alveolar proteinosis
C3808739,congenital myasthenic syndrome 8
C3809001,cataract 15 multiple types
C3809004,cataract 19 multiple types
C3809005,cardiofaciocutaneous syndrome 2
C3809006,cardiofaciocutaneous syndrome 3
C3809007,cardiofaciocutaneous syndrome 4
C3809013,complex cortical dysplasia with other brain malformations 2
C3809084,"myofibromatosis, infantile, 2"
C3809092,adams-oliver syndrome 4
C3809105,perrault syndrome 4
C3809165,multiple mitochondrial dysfunctions syndrome 3
C3809173,"developmental and epileptic encephalopathy, 16"
Cumapped259,secondary microcephaly
Cumapped231,"pulmonary hypertension, primary, 4"
C3809199,"precocious puberty, central, 2"
C3809209,nemaline myopathy 8
C3809210,"ehlers-danlos syndrome, spondylodysplastic type, 2"
C3809216,"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a14"
C3809221,"muscular dystrophy-dystroglycanopathy (congenital with intellectual disability), type b14"
C3809233,noonan syndrome 8
C3809278,developmental and epileptic encephalopathy 94
C3809311,"atrial fibrillation, familial, 13"
C3809320,nephronophthisis 16
C3809327,autosomal recessive spinocerebellar ataxia 14
C3809356,multiple congenital anomalies-hypotonia-seizures syndrome 3
C3809394,dyschromatosis universalis hereditaria 3
C3809414,complex cortical dysplasia with other brain malformations 3
C3809420,complex cortical dysplasia with other brain malformations 4
Cumapped183,"obesity, autosomal dominant"
C3809454,"hypotonia, infantile, with psychomotor retardation and characteristic facies 1"
C3809469,inclusion body myopathy with early-onset paget disease with or without frontotemporal dementia 3
C3809522,infantile liver failure syndrome 1
C3809523,age related macular degeneration 13
C3809543,primary ciliary dyskinesia 22
C3809548,primary ciliary dyskinesia 23
C3809621,idiopathic and/or familial pulmonary arterial hypertension
C3809645,"basal ganglia calcification, idiopathic, 5"
C3809651,infantile liver failure syndrome 2
C3809691,short-rib thoracic dysplasia 8 with or without polydactyly
C3809710,"telangiectasia, hereditary hemorrhagic, type 5"
C3809824,early-onset parkinson disease 20
C3809858,testicular anomalies with or without congenital heart disease
C3809877,schaaf-yang syndrome
C3809888,diamond-blackfan anemia 12
C3809965,"nephrotic syndrome, type 9"
C3810012,rienhoff syndrome
C3810023,8q24.3 microdeletion syndrome
C3810175,short-rib thoracic dysplasia 10 with or without polydactyly
C3810185,congenital dyserythropoietic anemia type type 1b
C3810200,short-rib thoracic dysplasia 11 with or without polydactyly
C3810230,neurodegeneration with brain iron accumulation 6
C3810325,hereditary sclerosing poikiloderma with tendon and pulmonary involvement
Cumapped258,scn1a seizure disorders
C3810329,autosomal dominant epilepsy
Cumapped94,hyperphosphatasia with intellectual disability syndrome 4
C3810363,bosch-boonstra-schaaf optic atrophy syndrome
C3810384,nemaline myopathy 9
C3810394,diffuse nonepidermolytic palmoplantar keratoderma
C3810400,"developmental and epileptic encephalopathy, 19"
C3810407,complex cortical dysplasia with other brain malformations 5
C3827273,sudden unexplained death in childhood
C3838758,familial hyperaldosteronism type iii
C3839212,familial hyperaldosteronism type ii
C3839432,syndromic x-linked intellectual disability najm type
C3844612,citrullinemia type ii
C3844613,citrullinemia
C3844620,gluthathione synthetase deficiency
C3844621,3m syndrome 1
Cumapped207,"polydactyly, postaxial, type a1"
C3887494,"ectodermal dysplasia 10b, hypohidrotic/hair/tooth type, autosomal recessive"
C3887964,polycystic kidney disease 3 with or without polycystic liver disease
C3888001,hermansky-pudlak syndrome 3
C3888007,hermansky-pudlak syndrome 6
C3888065,"ectodermal dysplasia 10a, hypohidrotic/hair/nail type, autosomal dominant"
C3888093,autosomal recessive congenital ichthyosis 2
C3888124,cataract 17 multiple types
C3888198,autosomal recessive bestrophinopathy
C3888244,aicardi-goutieres syndrome 7
Cumapped276,sialidosis type 2
C3888385,peroxisome biogenesis disorder 7a (zellweger)
C3888417,cataract 5 multiple types
C3890168,"intellectual disability, x-linked 101"
C3891828,pancreatic agenesis 1
C3892048,autosomal dominant nonsyndromic hearing loss 65
C4011949,immunodeficiency 27a
C4012146,desbuquois dysplasia 1
C4012727,megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1
C4013037,porencephaly 2
C4013473,"epilepsy, idiopathic generalized, susceptibility to, 13"
C4013694,hypergonadotropic hypogonadism
C4014043,lissencephaly 10
C4014120,nephrotic syndrome 14
Cumapped29,autosomal recessive spinocerebellar ataxia 16
C4014283,complex cortical dysplasia with other brain malformations 6
C4014339,short stature with microcephaly and distinctive facies
Cumapped209,pontocerebellar hypoplasia type 9
C4014386,"intellectual disability, autosomal recessive 43"
C4014440,mitochondrial complex iii deficiency nuclear type 8
C4014476,"melanoma, cutaneous malignant, susceptibility to, 10"
C4014488,pontocerebellar hypoplasia type 2e
C4014492,"developmental and epileptic encephalopathy, 23"
C4014531,"developmental and epileptic encephalopathy, 24"
C4014557,"myopathy, tubular aggregate, 2"
C4014563,hypotrichosis 12
C4014584,platelet-type bleeding disorder 18
C4014588,"leukoencephalopathy, progressive, with ovarian failure"
C4014641,diamond-blackfan anemia 13
C4014648,frontotemporal dementia and/or amyotrophic lateral sclerosis 2
C4014656,dilated cardiomyopathy 1nn
C4014676,ataxia-telangiectasia-like disorder 2
C4014738,megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2
C4014742,megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3
Cumapped16,ataxia - intellectual disability - oculomotor apraxia - cerebellar cysts syndrome
C4014831,vesicoureteral reflux 8
C4014856,cone-rod dystrophy 20
C4014925,focal segmental glomerulosclerosis 7
C4014970,adams-oliver syndrome 5
C4014993,focal segmental glomerulosclerosis 8
C4015019,neu-laxova syndrome 2
C4015070,systemic autoinflammation
C4015080,"microcephaly 13, primary, autosomal recessive"
C4015119,"developmental and epileptic encephalopathy, 26"
C4015129,"46,xy sex reversal 9"
C4015283,"intellectual disability, autosomal recessive 46"
C4015286,"macular degeneration, early-onset"
C4015301,autosomal recessive spinocerebellar ataxia 17
C4015323,hypomyelinating leukodystrophy 9
C4015368,"aortic aneurysm, familial thoracic 9"
C4015371,macular dystrophy with central cone involvement
C4015395,"generalized epilepsy with febrile seizures plus, type 9"
C4015444,"intellectual disability, autosomal recessive 47"
C4015474,chronic atrial and intestinal dysrhythmia
C4015495,cerebellar-facial-dental syndrome
C4015505,autosomal recessive spinocerebellar ataxia 18
C4015519,"developmental and epileptic encephalopathy, 28"
C4015555,focal segmental glomerulosclerosis 9
C4015671,long qt syndrome 14
C4015695,long qt syndrome 15
C4015728,"neurologic, endocrine, and pancreatic disease, multisystem, infantile-onset"
C4016015,dilated cardiomyopathy 1i
C4016214,inflammatory bowel disease 28
C4016378,"developmental and epileptic encephalopathy, 11"
C4016409,autosomal recessive congenital ichthyosis 1
C4016479,amelogenesis imperfecta type 1e
C4016876,centra precocious puberty 1
C4016894,"cutis laxa, autosomal recessive, type 1b"
C4016985,familial cold autoinflammatory syndrome 4
C4017127,mild canavan disease
C4017184,"intellectual disability, autosomal recessive 45"
C4020740,clinodactyly of the 4th toe
C4020908,hypointensity of cerebral white matter on mri
C4021082,fatty replacement of skeletal muscle
C4021202,abnormal nasal dorsum morphology
C4021546,abnormal mitochondria in muscle tissue
C4021637,abnormal nostril morphology
C4021657,abnormality of bone mineral density
C4021724,cytochrome c oxidase-negative muscle fibers
C4021726,emg: myopathic abnormalities
C4021727,emg: neuropathic changes
C4021770,toe clinodactyly
C4021800,abnormal dental enamel morphology
C4021808,abnormal earlobe morphology
C4021862,absent epiphyses
C4021883,abnormal liver function tests during pregnancy
C4022041,hypoammonemia
C4022159,muscle fiber inclusion bodies
C4022169,emg: myotonic discharges
C4022588,fatigable weakness of swallowing muscles
C4022735,cerebral white matter atrophy
C4022866,abnormal platelet shape
C4022933,abnormal protein o-linked glycosylation
C4023009,constrictive median neuropathy
C4023042,abnormality of the mitochondrion
C4023154,impaired ristocetin-induced platelet aggregation
C4023165,abnormal skeletal morphology
C4023166,abnormality of t cell physiology
C4023354,abnormal central motor function
C4023485,bilateral multifocal epileptiform discharges
C4023592,abnormality of mucopolysaccharide metabolism
C4023612,abnormal cellular immune system morphology
C4023628,mild fetal ventriculomegaly
C4023678,monocular strabismus
C4023681,delayed fine motor development
C4023731,4-5 finger syndactyly
C4023749,abnormal zygomatic bone morphology
C4024726,mucopolysacchariduria
C4024736,abnormally lax or hyperextensible skin
C4024770,bilateral congenital mydriasis
C4024790,adult-onset night blindness
C4024876,palmoplantar blistering
C4024899,atrophy/degeneration affecting the central nervous system
C4024918,recurrent subcortical infarcts
C4024967,congenital peripheral neuropathy
C4025010,coat hanger sign of ribs
C4025069,multiple unerupted teeth
C4025208,severe t-cell immunodeficiency
C4025271,abnormality of the pulmonary vasculature
C4025282,impaired adp-induced platelet aggregation
C4025572,episodic flaccid weakness
C4025573,increased muscle fatiguability
C4025576,emg: myotonic runs
C4025609,emg: axonal abnormality
C4025650,abnormal circulating lipid concentration
C4025723,abnormal upper motor neuron morphology
C4025809,penetrating foot ulcers
C4025836,abnormal choroid morphology
C4025875,abnormality of the anterior fontanelle
C4049241,body skin hyperlaxity due to vitamin k-dependent coagulation factor deficiency
C4053736,catecholaminergic polymorphic ventricular tachycardia 1
C4055018,familial atypical hemolytic-uremic syndrome
C4055196,congenital isolated adrenocorticotropic hormone deficiency
C4083050,tooth agenesis
C4084968,hereditary hyperekplexia
C4085243,mend syndrome
C4085251,"paget disease of bone 2, early-onset"
C4085595,al-raqad syndrome
C4085873,luscan-lumish syndrome
C4225153,"progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal recessive 1"
C4225161,"hypotonia, infantile, with psychomotor retardation and characteristic facies 3"
C4225164,autosomal dominant robinow syndrome 3
C4225165,"nephrotic syndrome, type 13"
C4225166,"nephrotic syndrome, type 12"
Cumapped43,"cerebellar atrophy, visual impairment, and psychomotor retardation;"
C4225179,cowden syndrome 7
C4225184,lymphatic malformation 6
C4225195,"microcephaly, short stature, and impaired glucose metabolism 2"
C4225197,preimplantation embryonic lethality 1
C4225202,lamb-shaffer syndrome
C4225210,oocyte maturation defect 2
C4225211,"cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 2"
C4225213,leukodystrophy and acquired microcephaly with or without dystonia;
C4225217,"heterotaxy, visceral, 7, autosomal"
C4225222,macrothrombocytopenia-lymphedema-developmental delay-facial dysmorphism-camptodactyly syndrome
C4225225,"skin creases, congenital symmetric circumferential, 2"
C4225228,"nephrotic syndrome, type 11"
Cumapped285,slc39a8-cdg
C4225242,dehydrated hereditary stomatocytosis 2
C4225246,charcot-marie-tooth disease type 4k
C4225247,hypomyelinating leukodystrophy 12
Cumapped261,seizures-scoliosis-macrocephaly syndrome
C4225253,charcot-marie-tooth disease axonal type 2x
C4225256,"developmental and epileptic encephalopathy, 35"
C4225257,"developmental and epileptic encephalopathy, 34"
C4225267,heimler syndrome 2
C4225271,adams-oliver syndrome 6
C4225273,"spondyloepiphyseal dysplasia, stanescu type"
C4225280,noonan syndrome 10
C4225281,retinitis pigmentosa 74
C4225282,noonan syndrome 9
C4225288,"short stature, microcephaly, and endocrine dysfunction"
C4225295,"polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis"
C4225297,achromatopsia 7
C4225305,hypomyelinating leukodystrophy 11
C4225312,"progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal recessive 2"
C4225313,bethlem myopathy 2
C4225315,retinitis pigmentosa 72
C4225316,exudative vitreoretinopathy 6
C4225321,zimmermann-laband syndrome 2
C4225325,frontotemporal dementia and/or amyotrophic lateral sclerosis 4
C4225326,frontotemporal dementia and/or amyotrophic lateral sclerosis 3
C4225332,hypomyelinating leukodystrophy 10
C4225337,"developmental and epileptic encephalopathy, 33"
C4225340,brugada syndrome 9
C4225342,retinitis pigmentosa 71
C4225346,"pulmonary fibrosis and/or bone marrow failure, telomere-related, 3"
C4225348,multiple mitochondrial dysfunctions syndrome 4
C4225350,"developmental and epileptic encephalopathy, 32"
C4225357,"developmental and epileptic encephalopathy, 31"
C4225361,"developmental and epileptic encephalopathy, 29"
C4225363,autosomal dominant robinow syndrome 2
C4225365,maturity-onset diabetes of the young type 13
C4225367,congenital myasthenic syndrome 11
C4225368,congenital myasthenic syndrome 9
C4225369,congenital myasthenic syndrome 4b
C4225376,senior-loken syndrome 8
C4225377,congenital myasthenic syndrome 17
C4225378,short-rib thoracic dysplasia 13 with or without polydactyly
C4225380,singleton-merten syndrome 2
C4225385,lethal congenital contracture syndrome 8
C4225386,lethal congenital contracture syndrome 7
C4225391,mitochondrial short-chain enoyl-coa hydratase 1 deficiency
C4225398,"congenital contractures of the limbs and face, hypotonia, and developmental delay"
C4225399,short stature with nonspecific skeletal abnormalities
C4225400,severe early-onset pulmonary alveolar proteinosis due to mars deficiency
C4225411,diamond-blackfan anemia 15 with mandibulofacial dysostosis
C4225413,congenital myasthenic syndrome 4a
C4225416,"intellectual disability, x-linked 99, syndromic, female-restricted"
C4225421,linear skin defects with multiple congenital anomalies 3
C4225426,"thyroid cancer, nonmedullary, 2"
C4225427,singleton-merten syndrome 1
C4225429,"ehlers-danlos syndrome, classic type"
C4225521,charge association
C4225566,amyotrophic lateral sclerosis type 16
C4225578,charcot-marie-tooth disease type 2y
C4225585,congenital myasthenic syndrome 18
C4225608,dilated cardiomyopathy 2a
C4225614,cataract 21 multiple types
Cumapped282,silver-russell syndrome 3
C4228281,anxiety
C4228327,abnormal posterior cranial fossa morphology
C4228433,triangular face
Cumapped211,poor speech
C4228466,"hydrocephalus, nonsyndromic, autosomal recessive 2"
C4229324,neonatal diabetes mellitus
